ppt,sensor,unit,stimulus,mean,std,median,mean_baseline,std_baseline,threshold,concept_cell
1,0,5,Aldi,1.8333333333333333,1.1690451944500122,2.0,0.17333333333333334,0.4129454791916705,1.9709247469345015,1
1,5,2,Danny Dyer,5.833333333333333,2.9268868558020253,6.0,0.58,0.8753021456353494,4.39027448073954,1
1,5,2,Phil Mitchell,5.0,2.898275349237888,5.0,0.58,0.8753021456353494,4.39027448073954,1
1,5,5,Emirates Stadium,5.0,1.6733200530681511,5.5,0.8033333333333333,1.0303044760003925,5.288347875879062,1
1,5,8,Camera,3.5,2.345207879911715,4.0,0.41,0.8230988025723199,3.9930283042344303,1
1,5,8,Gary Lineker,3.6666666666666665,2.581988897471611,4.5,0.41,0.8230988025723199,3.9930283042344303,1
1,5,8,Lidl,2.6666666666666665,2.0655911179772892,4.0,0.41,0.8230988025723199,3.9930283042344303,1
2,5,6,Elton John,3.0,2.3664319132398464,4.0,0.33666666666666667,0.7011616416452084,3.388890773914744,1
3,14,1,Taj Mahal,1.3333333333333333,1.0327955589886444,2.0,0.15333333333333332,0.3877154883268365,1.841096168516258,1
3,15,2,Marilyn Monroe,1.5,0.8366600265340756,2.0,0.14666666666666667,0.3902947461236545,1.8456572592719505,1
